iter	Passed	Remaining
0	168	16699
1	179	8799
2	189	6119
3	196	4723
4	201	3822
5	205	3219
6	209	2786
7	214	2462
8	218	2208
9	222	2006
10	226	1829
11	230	1689
12	234	1570
13	239	1468
14	243	1379
15	247	1301
16	252	1231
17	257	1170
18	261	1116
19	266	1066
20	271	1022
21	280	995
22	285	956
23	290	920
24	295	886
25	300	855
26	305	826
27	310	798
28	313	766
29	318	742
30	323	720
31	328	697
32	333	677
33	338	657
34	343	638
35	349	620
36	354	603
37	359	586
38	364	570
39	369	554
40	375	539
41	380	525
42	386	511
43	391	498
44	396	484
45	401	470
46	406	458
47	411	445
48	416	433
49	422	422
50	427	410
51	433	400
52	439	389
53	445	379
54	452	370
55	458	360
56	464	350
57	470	340
58	475	330
59	482	321
60	488	312
61	494	302
62	500	294
63	506	284
64	511	275
65	516	265
66	521	256
67	526	247
68	531	238
69	536	230
70	542	221
71	547	213
72	554	204
73	559	196
74	564	188
75	569	179
76	574	171
77	579	163
78	583	155
79	588	147
80	593	139
81	598	131
82	603	123
83	607	115
84	612	108
85	618	100
86	623	93
87	629	85
88	634	78
89	640	71
90	646	63
91	651	56
92	657	49
93	662	42
94	668	35
95	673	28
96	678	20
97	684	13
98	688	6
99	694	0
