date,open,high,low,close,volume,hold,settle,symbol
2023-05-16,3610.0,3639.0,3576.0,3590.0,813,692,3607.0,HC2405
2023-05-17,3603.0,3655.0,3574.0,3654.0,546,1095,3616.0,HC2405
2023-05-18,3659.0,3668.0,3592.0,3618.0,897,1514,3626.0,HC2405
2023-05-19,3600.0,3640.0,3556.0,3583.0,2126,2152,3595.0,HC2405
2023-05-22,3598.0,3610.0,3498.0,3512.0,1445,2555,3534.0,HC2405
2023-05-23,3520.0,3564.0,3512.0,3539.0,1608,3245,3533.0,HC2405
2023-05-24,3525.0,3537.0,3435.0,3435.0,3700,5062,3470.0,HC2405
2023-05-25,3433.0,3460.0,3352.0,3411.0,3720,6421,3418.0,HC2405
2023-05-26,3417.0,3494.0,3390.0,3489.0,2612,6540,3436.0,HC2405
2023-05-29,3480.0,3514.0,3455.0,3485.0,2213,6783,3481.0,HC2405
2023-05-30,3505.0,3505.0,3438.0,3451.0,1825,7008,3459.0,HC2405
2023-05-31,3445.0,3458.0,3412.0,3454.0,1640,7267,3432.0,HC2405
2023-06-01,3443.0,3530.0,3439.0,3529.0,1430,7287,3499.0,HC2405
2023-06-02,3528.0,3601.0,3496.0,3579.0,2113,7008,3553.0,HC2405
2023-06-05,3593.0,3653.0,3450.0,3613.0,2785,7712,3607.0,HC2405
2023-06-06,3598.0,3652.0,3598.0,3615.0,1707,8201,3628.0,HC2405
2023-06-07,3602.0,3627.0,3546.0,3575.0,1786,8412,3590.0,HC2405
2023-06-08,3594.0,3628.0,3586.0,3599.0,1498,8595,3604.0,HC2405
2023-06-09,3604.0,3670.0,3604.0,3663.0,2013,8370,3638.0,HC2405
2023-06-12,3663.0,3678.0,3595.0,3622.0,1020,8417,3632.0,HC2405
2023-06-13,3616.0,3700.0,3611.0,3700.0,2118,7766,3664.0,HC2405
2023-06-14,3700.0,3710.0,3669.0,3694.0,2097,7648,3682.0,HC2405
2023-06-15,3703.0,3720.0,3674.0,3708.0,1302,7863,3697.0,HC2405
2023-06-16,3713.0,3743.0,3706.0,3735.0,2140,7704,3723.0,HC2405
2023-06-19,3748.0,3750.0,3694.0,3703.0,3230,7819,3719.0,HC2405
2023-06-20,3693.0,3723.0,3664.0,3685.0,2149,8050,3694.0,HC2405
2023-06-21,3680.0,3680.0,3637.0,3642.0,1682,7910,3658.0,HC2405
2023-06-26,3636.0,3636.0,3595.0,3614.0,2256,8079,3604.0,HC2405
2023-06-27,3616.0,3693.0,3609.0,3682.0,3070,7383,3648.0,HC2405
2023-06-28,3678.0,3689.0,3645.0,3675.0,1620,7732,3670.0,HC2405
2023-06-29,3674.0,3688.0,3647.0,3662.0,1151,7441,3669.0,HC2405
2023-06-30,3674.0,3712.0,3661.0,3665.0,1034,7494,3687.0,HC2405
2023-07-03,3674.0,3720.0,3658.0,3707.0,2252,7635,3689.0,HC2405
2023-07-04,3712.0,3732.0,3698.0,3706.0,1143,7460,3716.0,HC2405
2023-07-05,3720.0,3721.0,3681.0,3697.0,1095,7570,3700.0,HC2405
2023-07-06,3693.0,3718.0,3687.0,3704.0,1091,7505,3705.0,HC2405
2023-07-07,3701.0,3711.0,3625.0,3625.0,1871,8103,3663.0,HC2405
2023-07-10,3625.0,3660.0,3610.0,3613.0,1653,8324,3631.0,HC2405
2023-07-11,3612.0,3651.0,3612.0,3629.0,1348,8793,3630.0,HC2405
2023-07-12,3636.0,3666.0,3631.0,3666.0,1262,8846,3646.0,HC2405
2023-07-13,3679.0,3686.0,3653.0,3675.0,1080,8774,3672.0,HC2405
2023-07-14,3679.0,3723.0,3679.0,3720.0,2340,8788,3698.0,HC2405
2023-07-17,3712.0,3716.0,3648.0,3649.0,2634,9258,3678.0,HC2405
2023-07-18,3665.0,3708.0,3657.0,3708.0,1694,9175,3686.0,HC2405
2023-07-19,3717.0,3717.0,3673.0,3705.0,1449,9336,3696.0,HC2405
2023-07-20,3711.0,3757.0,3711.0,3757.0,3570,9835,3735.0,HC2405
2023-07-21,3756.0,3780.0,3732.0,3778.0,4762,8904,3755.0,HC2405
2023-07-24,3788.0,3808.0,3767.0,3785.0,6309,9936,3785.0,HC2405
2023-07-25,3802.0,3893.0,3780.0,3876.0,15840,15401,3849.0,HC2405
2023-07-26,3884.0,3917.0,3872.0,3897.0,7360,16141,3896.0,HC2405
2023-07-27,3897.0,3960.0,3882.0,3927.0,12863,20418,3924.0,HC2405
2023-07-28,3915.0,3970.0,3868.0,3925.0,23600,27627,3914.0,HC2405
2023-07-31,3906.0,3923.0,3866.0,3888.0,12237,30955,3890.0,HC2405
2023-08-01,3893.0,3910.0,3866.0,3878.0,13686,37341,3888.0,HC2405
2023-08-02,3875.0,3891.0,3832.0,3845.0,20018,41441,3861.0,HC2405
2023-08-03,3833.0,3855.0,3767.0,3797.0,19308,43992,3812.0,HC2405
2023-08-04,3804.0,3862.0,3800.0,3809.0,10465,46984,3830.0,HC2405
2023-08-07,3808.0,3811.0,3775.0,3798.0,6715,48204,3792.0,HC2405
2023-08-08,3802.0,3831.0,3769.0,3775.0,10245,52998,3806.0,HC2405
2023-08-09,3760.0,3797.0,3750.0,3788.0,12478,56175,3777.0,HC2405
