date,open,high,low,close,volume,hold,settle,symbol
2023-05-16,17810.0,17810.0,17750.0,17750.0,6,6,17795.0,AL2405
2023-05-18,18085.0,18085.0,17985.0,18025.0,31,9,18005.0,AL2405
2023-05-19,17850.0,17920.0,17790.0,17790.0,3,10,17850.0,AL2405
2023-05-22,17985.0,17985.0,17570.0,17570.0,10,13,17830.0,AL2405
2023-05-23,17600.0,17600.0,17540.0,17540.0,2,15,17570.0,AL2405
2023-05-24,17525.0,17525.0,17005.0,17005.0,419,358,17460.0,AL2405
2023-05-25,17135.0,17190.0,16880.0,17010.0,68,367,17045.0,AL2405
2023-05-26,17125.0,17595.0,17060.0,17595.0,70,397,17190.0,AL2405
2023-05-29,17445.0,17545.0,17345.0,17345.0,18,394,17465.0,AL2405
2023-05-30,17295.0,17330.0,17130.0,17205.0,56,406,17215.0,AL2405
2023-05-31,17210.0,17315.0,17100.0,17310.0,49,393,17255.0,AL2405
2023-06-01,17240.0,17520.0,17185.0,17520.0,57,403,17360.0,AL2405
2023-06-02,17455.0,17800.0,17455.0,17730.0,38,421,17635.0,AL2405
2023-06-05,17760.0,17760.0,17305.0,17305.0,146,514,17530.0,AL2405
2023-06-06,17355.0,17405.0,17260.0,17405.0,8,512,17340.0,AL2405
2023-06-07,17300.0,17410.0,17290.0,17335.0,9,516,17330.0,AL2405
2023-06-08,17395.0,17495.0,17355.0,17420.0,51,553,17425.0,AL2405
2023-06-09,17505.0,17690.0,17505.0,17690.0,13,558,17590.0,AL2405
2023-06-12,17670.0,17730.0,17380.0,17380.0,49,566,17440.0,AL2405
2023-06-13,17340.0,17580.0,17340.0,17560.0,35,592,17515.0,AL2405
2023-06-14,17620.0,17795.0,17615.0,17755.0,54,632,17715.0,AL2405
2023-06-15,17840.0,17840.0,17495.0,17540.0,25,645,17570.0,AL2405
2023-06-16,17660.0,17820.0,17580.0,17780.0,46,663,17670.0,AL2405
2023-06-19,17750.0,17775.0,17535.0,17590.0,7,661,17670.0,AL2405
2023-06-20,17560.0,17745.0,17560.0,17700.0,305,528,17660.0,AL2405
2023-06-21,17710.0,17780.0,17645.0,17680.0,208,438,17700.0,AL2405
2023-06-26,17505.0,17505.0,17340.0,17435.0,150,376,17475.0,AL2405
2023-06-27,17405.0,17605.0,17330.0,17605.0,153,334,17445.0,AL2405
2023-06-28,17660.0,17660.0,17575.0,17575.0,4,334,17610.0,AL2405
2023-06-29,17500.0,17570.0,17475.0,17510.0,13,341,17525.0,AL2405
2023-06-30,17480.0,17635.0,17440.0,17560.0,83,390,17545.0,AL2405
2023-07-03,17510.0,17720.0,17450.0,17655.0,38,389,17560.0,AL2405
2023-07-04,17680.0,17690.0,17565.0,17565.0,10,390,17640.0,AL2405
2023-07-05,17620.0,17620.0,17500.0,17500.0,92,398,17545.0,AL2405
2023-07-06,17555.0,17600.0,17500.0,17540.0,97,454,17505.0,AL2405
2023-07-07,17640.0,17640.0,17480.0,17480.0,6,455,17555.0,AL2405
2023-07-10,17485.0,17620.0,17485.0,17600.0,14,457,17595.0,AL2405
2023-07-11,17685.0,17785.0,17645.0,17785.0,22,449,17735.0,AL2405
2023-07-12,17770.0,17770.0,17700.0,17765.0,24,464,17740.0,AL2405
2023-07-13,17880.0,17980.0,17865.0,17980.0,39,466,17905.0,AL2405
2023-07-14,18070.0,18150.0,18000.0,18035.0,56,488,18055.0,AL2405
2023-07-17,17965.0,18050.0,17955.0,18000.0,19,493,17975.0,AL2405
2023-07-18,17950.0,18080.0,17950.0,18070.0,15,496,18030.0,AL2405
2023-07-19,18015.0,18055.0,17975.0,18020.0,19,507,18005.0,AL2405
2023-07-20,18075.0,18080.0,18010.0,18045.0,9,509,18060.0,AL2405
2023-07-21,18080.0,18115.0,18060.0,18110.0,25,521,18090.0,AL2405
2023-07-24,18070.0,18160.0,18060.0,18060.0,20,526,18095.0,AL2405
2023-07-25,18100.0,18305.0,18100.0,18305.0,35,545,18240.0,AL2405
2023-07-26,18270.0,18315.0,18220.0,18275.0,39,542,18265.0,AL2405
2023-07-27,18255.0,18430.0,18175.0,18380.0,30,546,18340.0,AL2405
2023-07-28,18315.0,18315.0,18225.0,18280.0,24,544,18270.0,AL2405
2023-07-31,18290.0,18295.0,18255.0,18270.0,13,552,18265.0,AL2405
2023-08-01,18360.0,18470.0,18360.0,18445.0,36,565,18435.0,AL2405
2023-08-02,18415.0,18415.0,18320.0,18320.0,8,566,18360.0,AL2405
2023-08-03,18310.0,18310.0,18205.0,18280.0,136,558,18275.0,AL2405
2023-08-04,18260.0,18395.0,18250.0,18345.0,21,557,18305.0,AL2405
2023-08-07,18305.0,18355.0,18295.0,18315.0,8,558,18315.0,AL2405
2023-08-08,18330.0,18330.0,18270.0,18275.0,7,561,18290.0,AL2405
2023-08-09,18195.0,18290.0,18175.0,18290.0,16,562,18220.0,AL2405
2023-08-10,18235.0,18270.0,18210.0,18230.0,14,571,18230.0,AL2405
2023-08-11,18260.0,18325.0,18235.0,18235.0,28,572,18250.0,AL2405
2023-08-14,18125.0,18150.0,18050.0,18050.0,54,577,18100.0,AL2405
2023-08-15,18060.0,18245.0,18050.0,18225.0,64,579,18135.0,AL2405
2023-08-16,18200.0,18240.0,18080.0,18080.0,38,582,18170.0,AL2405
2023-08-17,18060.0,18110.0,18030.0,18060.0,39,592,18065.0,AL2405
2023-08-18,18155.0,18175.0,18050.0,18100.0,107,622,18070.0,AL2405
2023-08-21,18075.0,18150.0,18060.0,18120.0,42,640,18100.0,AL2405
2023-08-22,18125.0,18305.0,18105.0,18250.0,56,668,18190.0,AL2405
2023-08-23,18310.0,18360.0,18280.0,18325.0,76,659,18320.0,AL2405
2023-08-24,18280.0,18365.0,18280.0,18315.0,66,680,18315.0,AL2405
2023-08-25,18310.0,18330.0,18250.0,18330.0,35,691,18285.0,AL2405
2023-08-28,18325.0,18325.0,18230.0,18255.0,24,692,18270.0,AL2405
2023-08-29,18290.0,18445.0,18250.0,18395.0,28,698,18380.0,AL2405
2023-08-30,18360.0,18420.0,18315.0,18405.0,55,703,18370.0,AL2405
2023-08-31,18515.0,18645.0,18485.0,18620.0,70,700,18555.0,AL2405
2023-09-01,18630.0,18985.0,18600.0,18920.0,136,704,18800.0,AL2405
2023-09-04,18850.0,19065.0,18550.0,18600.0,105,700,18750.0,AL2405
2023-09-05,18590.0,18670.0,18565.0,18640.0,34,700,18610.0,AL2405
2023-09-06,18665.0,18820.0,18650.0,18745.0,44,700,18735.0,AL2405
2023-09-07,18770.0,18800.0,18715.0,18795.0,44,698,18765.0,AL2405
2023-09-08,18745.0,18785.0,18565.0,18630.0,50,703,18675.0,AL2405
2023-09-11,18580.0,18755.0,18580.0,18735.0,144,774,18705.0,AL2405
2023-09-12,18755.0,18865.0,18755.0,18845.0,230,822,18830.0,AL2405
2023-09-13,18810.0,18820.0,18680.0,18730.0,204,995,18745.0,AL2405
2023-09-14,18720.0,18900.0,18720.0,18900.0,103,1035,18815.0,AL2405
2023-09-15,18945.0,18960.0,18910.0,18940.0,12,1030,18925.0,AL2405
2023-09-18,18750.0,18795.0,18700.0,18765.0,205,1134,18760.0,AL2405
2023-09-19,18825.0,18935.0,18825.0,18870.0,198,1242,18885.0,AL2405
2023-09-20,18845.0,18940.0,18820.0,18935.0,122,1263,18880.0,AL2405
2023-09-21,18995.0,19100.0,18915.0,19020.0,349,1417,19025.0,AL2405
2023-09-22,18950.0,19165.0,18900.0,19030.0,1179,1951,19060.0,AL2405
2023-09-25,19085.0,19085.0,18895.0,19000.0,221,1902,18975.0,AL2405
2023-09-26,18980.0,19130.0,18970.0,19050.0,96,1954,19065.0,AL2405
2023-09-27,19110.0,19155.0,19060.0,19135.0,446,2097,19100.0,AL2405
2023-09-28,19160.0,19340.0,19100.0,19175.0,307,2144,19180.0,AL2405
2023-10-09,19135.0,19135.0,18885.0,18885.0,244,2107,18945.0,AL2405
2023-10-10,18880.0,18975.0,18740.0,18755.0,455,2334,18860.0,AL2405
2023-10-11,18770.0,18905.0,18750.0,18865.0,249,2415,18855.0,AL2405
2023-10-12,18795.0,18885.0,18770.0,18880.0,217,2524,18840.0,AL2405
2023-10-13,18825.0,18825.0,18705.0,18735.0,552,2917,18750.0,AL2405
2023-10-16,18730.0,18835.0,18710.0,18830.0,96,2971,18760.0,AL2405
2023-10-17,18780.0,18780.0,18575.0,18645.0,1327,3826,18640.0,AL2405
2023-10-18,18640.0,18760.0,18630.0,18735.0,645,4138,18700.0,AL2405
2023-10-19,18770.0,18805.0,18740.0,18775.0,297,4253,18770.0,AL2405
2023-10-20,18775.0,18800.0,18700.0,18720.0,281,4381,18730.0,AL2405
2023-10-23,18725.0,18770.0,18615.0,18645.0,471,4498,18640.0,AL2405
2023-10-24,18710.0,18720.0,18630.0,18720.0,219,4520,18680.0,AL2405
2023-10-25,18750.0,19000.0,18695.0,18995.0,395,4521,18925.0,AL2405
2023-10-26,19005.0,19005.0,18850.0,18965.0,216,4536,18930.0,AL2405
2023-10-27,18910.0,18910.0,18740.0,18875.0,280,4628,18825.0,AL2405
2023-10-30,18935.0,19125.0,18925.0,19075.0,1874,5033,19040.0,AL2405
2023-10-31,19265.0,19265.0,19015.0,19080.0,394,5005,19080.0,AL2405
2023-11-01,19020.0,19085.0,18980.0,19080.0,415,5026,19020.0,AL2405
2023-11-02,19110.0,19110.0,18980.0,18990.0,355,5018,19020.0,AL2405
2023-11-03,18995.0,19045.0,18950.0,19015.0,457,5231,19000.0,AL2405
2023-11-06,19015.0,19070.0,18920.0,19040.0,806,5273,19000.0,AL2405
2023-11-07,19105.0,19180.0,19035.0,19040.0,850,5857,19105.0,AL2405
2023-11-08,19030.0,19150.0,19025.0,19130.0,404,5926,19075.0,AL2405
2023-11-09,19130.0,19145.0,19025.0,19045.0,793,6421,19110.0,AL2405
2023-11-10,18985.0,19080.0,18985.0,19050.0,356,6521,19040.0,AL2405
2023-11-13,18960.0,18980.0,18795.0,18820.0,757,6735,18860.0,AL2405
2023-11-14,18820.0,18920.0,18820.0,18885.0,798,7308,18840.0,AL2405
2023-11-15,18885.0,19005.0,18870.0,18910.0,472,7378,18910.0,AL2405
2023-11-16,18875.0,18905.0,18845.0,18890.0,266,7439,18880.0,AL2405
2023-11-17,18880.0,18885.0,18735.0,18765.0,1007,7871,18815.0,AL2405
2023-11-20,18755.0,18900.0,18715.0,18845.0,767,8052,18825.0,AL2405
2023-11-21,18845.0,18875.0,18780.0,18790.0,459,8167,18820.0,AL2405
2023-11-22,18780.0,18840.0,18665.0,18695.0,2056,9194,18720.0,AL2405
2023-11-23,18715.0,18735.0,18630.0,18685.0,1136,9563,18680.0,AL2405
2023-11-24,18670.0,18765.0,18645.0,18715.0,685,9695,18715.0,AL2405
2023-11-27,18710.0,18850.0,18645.0,18815.0,1139,9805,18770.0,AL2405
2023-11-28,18815.0,18815.0,18675.0,18710.0,1568,9991,18755.0,AL2405
2023-11-29,18705.0,18760.0,18465.0,18485.0,4993,12829,18555.0,AL2405
2023-11-30,18505.0,18565.0,18495.0,18565.0,2470,12939,18530.0,AL2405
2023-12-01,18520.0,18550.0,18415.0,18435.0,2203,13579,18490.0,AL2405
2023-12-04,18435.0,18610.0,18405.0,18465.0,2044,13805,18510.0,AL2405
2023-12-05,18400.0,18440.0,18270.0,18320.0,3131,13790,18340.0,AL2405
2023-12-06,18250.0,18310.0,18185.0,18280.0,3985,14097,18245.0,AL2405
2023-12-07,18235.0,18290.0,18180.0,18265.0,2130,14502,18235.0,AL2405
2023-12-08,18220.0,18375.0,18150.0,18355.0,3369,15379,18260.0,AL2405
2023-12-11,18390.0,18390.0,18135.0,18235.0,3361,16656,18200.0,AL2405
2023-12-12,18215.0,18285.0,18140.0,18240.0,2892,16950,18220.0,AL2405
2023-12-13,18270.0,18290.0,18125.0,18130.0,6421,18944,18180.0,AL2405
2023-12-14,18165.0,18370.0,18160.0,18345.0,4826,19131,18280.0,AL2405
2023-12-15,18395.0,18590.0,18395.0,18530.0,3978,19228,18505.0,AL2405
2023-12-18,18650.0,18780.0,18595.0,18750.0,5893,19763,18695.0,AL2405
2023-12-19,18795.0,18915.0,18760.0,18875.0,4412,20185,18830.0,AL2405
2023-12-20,18880.0,18960.0,18790.0,18940.0,3035,20341,18890.0,AL2405
2023-12-21,18900.0,18945.0,18820.0,18925.0,3925,21137,18890.0,AL2405
2023-12-22,18900.0,19170.0,18875.0,19120.0,6994,22715,19075.0,AL2405
2023-12-25,19160.0,19295.0,18985.0,19055.0,6840,23150,19150.0,AL2405
2023-12-26,19100.0,19230.0,19020.0,19170.0,2599,23491,19145.0,AL2405
2023-12-27,19160.0,19270.0,19135.0,19240.0,5059,24388,19200.0,AL2405
2023-12-28,19270.0,19565.0,19270.0,19420.0,16098,25166,19450.0,AL2405
2023-12-29,19340.0,19490.0,19285.0,19400.0,12795,29204,19380.0,AL2405
2024-01-02,19420.0,19660.0,19225.0,19620.0,10236,30040,19470.0,AL2405
2024-01-03,19600.0,19600.0,19250.0,19275.0,13198,32492,19365.0,AL2405
2024-01-04,19200.0,19335.0,19110.0,19150.0,9878,33313,19215.0,AL2405
2024-01-05,19110.0,19190.0,19070.0,19140.0,5907,33575,19125.0,AL2405
2024-01-08,19090.0,19200.0,19005.0,19095.0,8551,34449,19085.0,AL2405
2024-01-09,19045.0,19050.0,18905.0,18930.0,7377,35691,18960.0,AL2405
2024-01-10,18955.0,19095.0,18945.0,18960.0,6614,35761,19015.0,AL2405
2024-01-11,18965.0,19050.0,18945.0,19020.0,4480,36477,19000.0,AL2405
2024-01-12,19030.0,19035.0,18905.0,18990.0,5610,36955,18970.0,AL2405
2024-01-15,18950.0,19010.0,18805.0,18860.0,12194,38199,18890.0,AL2405
2024-01-16,18845.0,18875.0,18730.0,18770.0,12144,40166,18795.0,AL2405
2024-01-17,18810.0,18895.0,18775.0,18785.0,8014,39782,18840.0,AL2405
2024-01-18,18780.0,18785.0,18670.0,18765.0,8691,41721,18735.0,AL2405
2024-01-19,18725.0,18730.0,18590.0,18635.0,11678,44172,18660.0,AL2405
2024-01-22,18645.0,18770.0,18615.0,18680.0,13338,45156,18690.0,AL2405
2024-01-23,18650.0,18680.0,18590.0,18650.0,16551,47807,18625.0,AL2405
2024-01-24,18720.0,18985.0,18685.0,18980.0,26255,50674,18865.0,AL2405
2024-01-25,19000.0,19020.0,18810.0,18845.0,20659,54245,18880.0,AL2405
2024-01-26,18885.0,19085.0,18855.0,19020.0,23768,53852,19000.0,AL2405
2024-01-29,19050.0,19200.0,18895.0,18980.0,23352,56024,19045.0,AL2405
2024-01-30,19000.0,19035.0,18920.0,18935.0,13080,57693,18975.0,AL2405
2024-01-31,18960.0,19035.0,18935.0,18985.0,15403,60004,18985.0,AL2405
