date,open,high,low,close,volume,hold,settle,symbol
2023-11-16,475.44,476.98,474.8,475.06,35,14,475.7,AU2412
2023-11-17,474.6,477.88,474.6,476.9,215,139,476.52,AU2412
2023-11-20,476.06,476.18,471.28,471.28,80,138,473.76,AU2412
2023-11-21,469.62,471.2,467.82,470.88,349,320,469.88,AU2412
2023-11-22,470.18,473.38,469.66,470.22,354,459,471.62,AU2412
2023-11-23,471.32,472.3,468.7,469.38,309,574,470.34,AU2412
2023-11-24,469.12,469.98,468.52,469.8,118,594,469.3,AU2412
2023-11-27,470.28,475.0,470.08,474.06,320,694,472.14,AU2412
2023-11-28,475.0,475.46,473.64,475.1,442,790,474.8,AU2412
2023-11-29,475.22,480.0,474.88,478.86,508,1029,478.36,AU2412
2023-11-30,479.04,480.0,478.22,479.1,311,1105,479.32,AU2412
2023-12-01,478.6,480.3,478.28,479.66,518,1170,479.56,AU2412
2023-12-04,478.84,489.52,478.24,485.5,987,1431,485.78,AU2412
2023-12-05,485.02,485.18,476.28,479.04,793,1464,479.92,AU2412
2023-12-06,477.78,478.6,475.8,478.42,420,1536,477.36,AU2412
2023-12-07,478.7,480.0,478.66,479.38,201,1565,479.36,AU2412
2023-12-08,479.98,480.84,477.88,479.32,476,1589,479.6,AU2412
2023-12-11,478.44,479.12,474.3,475.96,650,1478,476.0,AU2412
2023-12-12,474.84,474.84,472.0,473.76,329,1520,473.24,AU2412
2023-12-13,473.38,475.02,472.54,472.84,501,1635,473.84,AU2412
2023-12-14,473.52,481.86,472.66,479.86,604,1753,479.14,AU2412
2023-12-15,479.82,480.86,478.46,479.14,332,1805,479.44,AU2412
2023-12-18,479.92,480.38,477.14,478.66,356,1815,478.84,AU2412
2023-12-19,478.7,480.2,478.4,479.98,366,1964,479.5,AU2412
2023-12-20,480.34,481.6,479.62,480.7,349,2068,480.86,AU2412
2023-12-21,480.3,481.28,479.58,480.86,321,2216,480.44,AU2412
2023-12-22,481.0,484.82,480.4,483.4,1211,2579,483.2,AU2412
2023-12-25,484.76,486.8,483.64,484.7,723,2731,485.28,AU2412
2023-12-26,484.68,486.0,484.68,485.72,440,2766,485.34,AU2412
