date,open,high,low,close,volume,hold,settle,symbol
2023-05-16,64510.0,64840.0,63900.0,64000.0,63,53,64130.0,CU2405
2023-05-17,63820.0,64140.0,63680.0,64050.0,37,58,63900.0,CU2405
2023-05-18,64690.0,65400.0,64690.0,65000.0,68,97,65150.0,CU2405
2023-05-19,64800.0,64990.0,64500.0,64880.0,27,105,64710.0,CU2405
2023-05-22,64730.0,64900.0,64140.0,64260.0,52,129,64610.0,CU2405
2023-05-23,64300.0,64620.0,63620.0,63620.0,41,126,64140.0,CU2405
2023-05-24,63380.0,63880.0,63010.0,63150.0,172,170,63430.0,CU2405
2023-05-25,62690.0,63050.0,62310.0,62850.0,277,226,62690.0,CU2405
2023-05-26,62900.0,63960.0,62760.0,63960.0,47,239,63500.0,CU2405
2023-05-29,64000.0,64600.0,63910.0,64490.0,94,258,64240.0,CU2405
2023-05-30,64280.0,64520.0,63700.0,63930.0,75,296,64040.0,CU2405
2023-05-31,64100.0,64100.0,63570.0,64050.0,26,310,63860.0,CU2405
2023-06-01,63750.0,64850.0,63750.0,64700.0,34,315,64350.0,CU2405
2023-06-02,64810.0,65450.0,64630.0,65400.0,55,339,65130.0,CU2405
2023-06-05,65370.0,65370.0,64710.0,64880.0,18,343,64990.0,CU2405
2023-06-06,65400.0,65800.0,65270.0,65790.0,49,365,65610.0,CU2405
2023-06-07,65630.0,65860.0,65470.0,65470.0,33,380,65630.0,CU2405
2023-06-08,65860.0,66100.0,65600.0,65720.0,110,413,65780.0,CU2405
2023-06-09,65790.0,66130.0,65740.0,66130.0,48,418,65910.0,CU2405
2023-06-12,66430.0,66580.0,65710.0,65770.0,87,396,66200.0,CU2405
2023-06-13,65750.0,66400.0,65530.0,66350.0,105,397,65790.0,CU2405
2023-06-14,66870.0,67020.0,66590.0,66670.0,38,403,66840.0,CU2405
2023-06-15,67060.0,67150.0,66780.0,66840.0,39,413,66930.0,CU2405
2023-06-16,67260.0,67690.0,67240.0,67620.0,52,416,67460.0,CU2405
2023-06-19,67410.0,67630.0,67310.0,67390.0,22,409,67410.0,CU2405
2023-06-20,67590.0,67590.0,67280.0,67340.0,49,427,67370.0,CU2405
2023-06-21,67660.0,67850.0,67530.0,67580.0,80,435,67680.0,CU2405
2023-06-26,66850.0,67200.0,66850.0,67030.0,10,435,67030.0,CU2405
2023-06-27,67090.0,67170.0,66700.0,67150.0,23,429,67040.0,CU2405
2023-06-28,67150.0,67150.0,66630.0,66690.0,133,504,66860.0,CU2405
2023-06-29,66150.0,66360.0,66150.0,66190.0,28,508,66250.0,CU2405
2023-06-30,65780.0,66420.0,65730.0,66300.0,62,524,66030.0,CU2405
2023-07-03,66900.0,67290.0,66760.0,67150.0,15,522,67140.0,CU2405
2023-07-04,67140.0,67210.0,66810.0,67000.0,13,523,67090.0,CU2405
2023-07-05,66850.0,66990.0,66690.0,66690.0,11,523,66840.0,CU2405
2023-07-06,66920.0,67000.0,66780.0,66840.0,33,534,66860.0,CU2405
2023-07-07,66950.0,66950.0,66500.0,66600.0,89,591,66700.0,CU2405
2023-07-10,66760.0,67030.0,66680.0,66680.0,62,628,66820.0,CU2405
2023-07-11,66880.0,67290.0,66850.0,67260.0,51,647,67120.0,CU2405
2023-07-12,66900.0,66930.0,66700.0,66920.0,31,658,66860.0,CU2405
2023-07-13,67240.0,67780.0,67240.0,67770.0,17,667,67610.0,CU2405
2023-07-14,68220.0,68770.0,67790.0,68420.0,135,667,68470.0,CU2405
2023-07-17,68640.0,68650.0,67900.0,67900.0,21,659,68350.0,CU2405
2023-07-18,67450.0,67810.0,67350.0,67700.0,56,673,67570.0,CU2405
2023-07-19,67530.0,67830.0,67520.0,67820.0,37,687,67660.0,CU2405
2023-07-20,67770.0,67940.0,67650.0,67770.0,51,706,67830.0,CU2405
2023-07-21,67980.0,68050.0,67720.0,68030.0,10,708,67890.0,CU2405
2023-07-24,67660.0,67730.0,67410.0,67500.0,338,888,67530.0,CU2405
2023-07-25,67550.0,68320.0,67520.0,68290.0,102,927,67760.0,CU2405
2023-07-26,68690.0,68760.0,68420.0,68480.0,67,895,68560.0,CU2405
2023-07-27,68230.0,68760.0,68200.0,68500.0,61,881,68380.0,CU2405
2023-07-28,68150.0,68220.0,67890.0,68220.0,28,882,68070.0,CU2405
2023-07-31,68220.0,68990.0,68220.0,68670.0,255,872,68620.0,CU2405
2023-08-01,69300.0,70090.0,69230.0,69780.0,244,829,69640.0,CU2405
2023-08-02,69360.0,69360.0,68620.0,68620.0,101,847,69050.0,CU2405
2023-08-03,68300.0,68330.0,67970.0,68020.0,102,862,68140.0,CU2405
2023-08-04,68130.0,68880.0,68130.0,68500.0,31,858,68570.0,CU2405
2023-08-07,68000.0,68350.0,68000.0,68250.0,47,856,68130.0,CU2405
2023-08-08,68360.0,68360.0,67930.0,67970.0,24,869,68100.0,CU2405
2023-08-09,67400.0,67810.0,67050.0,67790.0,111,911,67330.0,CU2405
2023-08-10,67580.0,67740.0,67500.0,67740.0,104,987,67630.0,CU2405
2023-08-11,67900.0,67910.0,67390.0,67400.0,52,1027,67490.0,CU2405
2023-08-14,67220.0,67270.0,67010.0,67040.0,57,1051,67080.0,CU2405
2023-08-15,67320.0,67830.0,67320.0,67660.0,88,1107,67610.0,CU2405
2023-08-16,67660.0,67660.0,66720.0,66720.0,168,1167,66970.0,CU2405
2023-08-17,66900.0,67170.0,66670.0,67070.0,114,1184,66880.0,CU2405
2023-08-18,67400.0,67470.0,67040.0,67040.0,201,1297,67370.0,CU2405
2023-08-21,67190.0,67590.0,67030.0,67590.0,104,1255,67210.0,CU2405
